0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-27.0,-42.0,-52.0,-48.0,-53.0,-51.0,-57.0,-58.0,-59.0,-56.0,-53.0,-55.0,-56.0,-69.0,-64.0,-82.0,-79.0
-28.0,-42.0,-52.0,-45.0,-53.0,-58.0,-57.0,-54.0,-52.0,-54.0,-57.0,-54.0,-56.0,-72.0,-68.0,-73.0,-73.0
-28.0,-58.0,-54.0,-50.0,-53.0,-51.0,-50.0,-58.0,-52.0,-56.0,-57.0,-56.0,-52.0,-64.0,-65.0,-65.0,-76.0
-28.0,-57.0,-54.0,-50.0,-59.0,-52.0,-50.0,-58.0,-52.0,-56.0,-57.0,-56.0,-56.0,-74.0,-70.0,-74.0,-83.0
-30.0,-57.0,-48.0,-50.0,-59.0,-57.0,-57.0,-31.0,-52.0,-55.0,-53.0,-56.0,-52.0,-65.0,-65.0,-80.0,-65.0
-31.0,-58.0,-48.0,-50.0,-54.0,-52.0,-61.0,-58.0,-65.0,-55.0,-57.0,-56.0,-56.0,-66.0,-65.0,-64.0,-69.0
-30.0,-57.0,-53.0,-44.0,-59.0,-51.0,-57.0,-58.0,-64.0,-55.0,-57.0,-54.0,-52.0,-65.0,-70.0,-70.0,-76.0
-28.0,-58.0,-60.0,-44.0,-59.0,-52.0,-57.0,-58.0,-59.0,-54.0,-50.0,-56.0,-56.0,-61.0,-71.0,-65.0,-66.0
-31.0,-57.0,-48.0,-51.0,-53.0,-52.0,-60.0,-51.0,-64.0,-54.0,-57.0,-54.0,-56.0,-62.0,-65.0,-71.0,-71.0
-28.0,-57.0,-49.0,-52.0,-53.0,-52.0,-60.0,-58.0,-52.0,-56.0,-53.0,-56.0,-52.0,-62.0,-68.0,-63.0,-79.0
-31.0,-57.0,-49.0,-50.0,-59.0,-73.0,-57.0,-51.0,-53.0,-54.0,-57.0,-54.0,-56.0,-64.0,-70.0,-70.0,-70.0
-31.0,-57.0,-58.0,-49.0,-53.0,-56.0,-57.0,-58.0,-52.0,-56.0,-53.0,-54.0,-56.0,-63.0,-64.0,-73.0,-77.0
-28.0,-42.0,-60.0,-43.0,-53.0,-52.0,-57.0,-51.0,-59.0,-55.0,-57.0,-56.0,-56.0,-59.0,-69.0,-62.0,-88.0
-28.0,-42.0,-49.0,-50.0,-53.0,-52.0,-57.0,-51.0,-52.0,-56.0,-50.0,-54.0,-52.0,-63.0,-69.0,-70.0,-76.0
-28.0,-57.0,-52.0,-49.0,-54.0,-56.0,-49.0,-58.0,-52.0,-54.0,-53.0,-54.0,-56.0,-64.0,-69.0,-65.0,-78.0
-28.0,-58.0,-49.0,-52.0,-53.0,-67.0,-61.0,-51.0,-64.0,-54.0,-50.0,-54.0,-56.0,-65.0,-69.0,-64.0,-77.0
-31.0,-58.0,-49.0,-43.0,-53.0,-66.0,-60.0,-52.0,-59.0,-56.0,-53.0,-56.0,-56.0,-67.0,-69.0,-84.0,-70.0
-31.0,-58.0,-55.0,-44.0,-53.0,-56.0,-57.0,-51.0,-65.0,-55.0,-53.0,-56.0,-52.0,-65.0,-64.0,-64.0,-70.0
-28.0,-57.0,-48.0,-49.0,-54.0,-67.0,-60.0,-57.0,-52.0,-56.0,-57.0,-54.0,-56.0,-63.0,-69.0,-68.0,-74.0
