0.1m,0.5m,1.0m,1.5m,2.0m,2.5m,3.0m,3.5m,4.0m,4.5m,5.0m,5.5m,6.0m,7.0m,8.0m,9.0m,10m
-27.0,-56.0,-60.0,-59.0,-69.0,-54.0,-55.0,-63.0,-62.0,-65.0,-59.0,-68.0,-60.0,,,-73.0,-77.0
-25.0,-50.0,-60.0,-60.0,-67.0,-55.0,-58.0,-76.0,-68.0,-71.0,-59.0,-68.0,-57.0,,,-72.0,
-25.0,-50.0,-60.0,-61.0,-60.0,-65.0,-55.0,-58.0,-72.0,-65.0,-62.0,-62.0,-60.0,,,-74.0,
-25.0,-54.0,-55.0,-57.0,-68.0,-80.0,-55.0,-63.0,-72.0,-66.0,-59.0,-69.0,-71.0,,,-76.0,
-25.0,-54.0,-60.0,-62.0,-82.0,-66.0,-58.0,-57.0,-69.0,-72.0,-62.0,-62.0,-60.0,,,-68.0,
-27.0,-54.0,-59.0,-61.0,-59.0,-76.0,-58.0,-67.0,-68.0,-71.0,-62.0,-68.0,-57.0,,,-75.0,
-25.0,-50.0,-58.0,-61.0,-65.0,-64.0,-58.0,-58.0,-72.0,-68.0,-62.0,-77.0,-57.0,,,-65.0,
-26.0,-50.0,-57.0,-59.0,-70.0,-73.0,-55.0,-74.0,-69.0,-71.0,-62.0,-68.0,-60.0,,,-73.0,
-25.0,-50.0,-58.0,-60.0,-60.0,-56.0,-58.0,-63.0,-71.0,-65.0,-59.0,-68.0,-60.0,,,-66.0,
-25.0,-54.0,-60.0,-61.0,-64.0,-66.0,-58.0,-63.0,-62.0,-71.0,-62.0,-68.0,-57.0,,,-71.0,
-25.0,-50.0,-61.0,-59.0,-58.0,-55.0,-58.0,-58.0,-71.0,-68.0,-62.0,-62.0,-71.0,,,,
-27.0,-56.0,-59.0,-61.0,-66.0,-70.0,-58.0,-58.0,-69.0,-69.0,-62.0,-75.0,-60.0,,,,
-25.0,-54.0,-59.0,-61.0,-60.0,-67.0,-56.0,-63.0,-71.0,-68.0,-62.0,-62.0,-71.0,,,,
-27.0,-54.0,-58.0,-61.0,-63.0,-65.0,-58.0,-63.0,-62.0,-69.0,-62.0,-68.0,-60.0,,,,
-27.0,-54.0,-59.0,-57.0,-63.0,-55.0,-56.0,-62.0,-62.0,-70.0,-62.0,-68.0,-60.0,,,,
-25.0,-50.0,-60.0,-57.0,-67.0,-83.0,-57.0,-63.0,-71.0,-74.0,-59.0,-62.0,-57.0,,,,
-25.0,-56.0,-57.0,-60.0,-65.0,-69.0,-58.0,-58.0,-69.0,-74.0,-62.0,-62.0,-57.0,,,,
-25.0,-56.0,-58.0,-59.0,-73.0,-55.0,-56.0,-63.0,-69.0,-72.0,-59.0,-68.0,-57.0,,,,
